127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001825
127.0.0.1, 2019-04-08 19:24:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.005650
127.0.0.1, 2019-04-08 19:24:43, GET, /admin/default/index, HTTP/1.1, 200, 1.245036
127.0.0.1, 2019-04-08 19:25:00, POST, /admin/default/index, HTTP/1.1, 303, 0.479109
127.0.0.1, 2019-04-08 19:25:01, GET, /admin/default/site, HTTP/1.1, 200, 0.550517
127.0.0.1, 2019-04-08 19:25:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.917498
127.0.0.1, 2019-04-08 19:25:33, POST, /admin/default/site, HTTP/1.1, 303, 0.579881
127.0.0.1, 2019-04-08 19:25:34, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 1.272036
127.0.0.1, 2019-04-08 19:26:41, GET, /helloworld, HTTP/1.1, 404, 0.001727
127.0.0.1, 2019-04-08 19:26:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000924
127.0.0.1, 2019-04-08 19:27:51, GET, /helloWorld, HTTP/1.1, 200, 0.236687
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.017875
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002670
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.022798
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/jquery.js, HTTP/1.1, 200, 0.002867
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/web2py.js, HTTP/1.1, 200, 0.007928
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005938
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/calendar.js, HTTP/1.1, 200, 0.008449
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005603
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/css/calendar.css, HTTP/1.1, 200, 0.002676
127.0.0.1, 2019-04-08 19:27:52, GET, /helloWorld/static/images/background.jpg, HTTP/1.1, 404, 0.001359
127.0.0.1, 2019-04-08 19:27:53, GET, /helloWorld/static/images/favicon.ico, HTTP/1.1, 200, 0.001530
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.554595
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003922
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.008248
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.007629
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.008956
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.010680
